"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"51","41","10155","","16024","1","","",""
"51","42","10156","","16058","1","","",""
"51","43","10157","","16020","1","","",""
"51","42","10158","","16030","1","","",""
"51","43","10159","","16028","1","","",""
"47","7","1016","","36212","1","","",""
"51","43","10160","","16022","1","","",""
"51","42","10161","","16036","1","","",""
"10","30","10162","","3063","0","","",""
"10","11","10163","","3063","0","","",""
"10","29","10164","","3063","0","","",""
"10","48","10165","","3063","0","","",""
"10","37","10166","","3063","0","","",""
"10","50","10167","","3063","0","","",""
"10","49","10168","","3063","0","","",""
"10","35","10169","","3063","0","","",""
"47","4","1017","","36208","1","","",""
"10","36","10170","","3063","0","","",""
"10","33","10171","","3063","0","","",""
"10","11","10172","","3071","0","","",""
"10","73","10173","","3091","0","","",""
"10","89","10174","","3035","0","","",""
"10","30","10175","","3071","0","","",""
"10","29","10176","","3071","0","","",""
"10","37","10177","","3071","0","","",""
"10","48","10178","","3071","0","","",""
"10","36","10179","","3071","0","","",""
"47","3","1018","","36208","1","","",""
"10","49","10180","","3071","0","","",""
"10","33","10181","","3071","0","","",""
"10","35","10182","","3071","0","","",""
"10","50","10183","","3071","0","","",""
"10","30","10184","","3077","0","","",""
"10","48","10185","","3077","0","","",""
"10","37","10186","","3077","0","","",""
"10","29","10187","","3077","0","","",""
"10","11","10188","","3077","0","","",""
"10","49","10189","","3077","0","","",""
"47","2","1019","","36208","1","","",""
"10","33","10190","","3077","0","","",""
"10","50","10191","","3077","0","","",""
"10","36","10192","","3077","0","","",""
"10","35","10193","","3077","0","","",""
"10","11","10194","","3085","0","","",""
"10","30","10195","","3085","0","","",""
"10","29","10196","","3085","0","","",""
"10","37","10197","","3085","0","","",""
"10","48","10198","","3085","0","","",""
"10","36","10199","","3085","0","","",""
"52","19","102","","2037","0","","",""
"74","1","1020","","71702","0","","",""
"10","33","10200","","3085","0","","",""
"10","49","10201","","3085","0","","",""
"10","50","10202","","3085","0","","",""
"10","35","10203","","3085","0","","",""
"10","35","10204","","3099","0","","",""
"10","50","10205","","3099","0","","",""
"51","44","10206","","16022","1","","",""
"51","41","10207","","16022","1","","",""
"53","1","10208","","30706","0","","",""
"53","6","10209","","30706","0","","",""
"74","8","1021","","71702","0","","",""
"53","9","10210","","30706","0","","",""
"53","7","10211","","30706","0","","",""
"10","29","10212","","3099","0","","",""
"10","11","10213","","3099","0","","",""
"10","37","10214","","3099","0","","",""
"10","48","10215","","3099","0","","",""
"10","30","10216","","3099","0","","",""
"51","41","10217","","16055","0","","",""
"51","41","10218","","16057","0","","",""
"51","44","10219","","16055","0","","",""
"74","7","1022","","71702","0","","",""
"51","44","10220","","16013","0","","",""
"51","42","10221","","16026","1","","",""
"51","43","10222","","16026","1","","",""
"51","42","10223","","16046","1","","",""
"51","43","10224","","16024","1","","",""
"51","42","10225","","16050","1","","",""
"51","44","10226","","16024","1","","",""
"30","4","10227","","61103","0","","",""
"30","6","10228","","61103","0","","",""
"30","10","10229","","61103","0","","",""
"74","6","1023","","71702","0","","",""
"30","1","10230","","61103","0","","",""
"30","7","10231","","61103","0","","",""
"30","2","10232","","61103","0","","",""
"87","22","10233","","16","0","","",""
"87","25","10234","","16","0","","",""
"87","20","10235","","16","0","","",""
"87","19","10236","","16","0","","",""
"87","18","10237","","16","0","","",""
"30","4","10238","","61105","0","","",""
"30","2","10239","","61105","0","","",""
"74","9","1024","","71106","0","","",""
"30","52","10240","","61105","0","","",""
"30","10","10241","","61105","0","","",""
"30","7","10242","","61105","0","","",""
"30","3","10243","","61105","0","","",""
"30","8","10244","","61105","0","","",""
"30","1","10245","","61105","0","","",""
"30","11","10246","","61105","0","","",""
"30","9","10247","","61105","0","","",""
"49","9","10248","","22","0","","",""
"49","1","10249","","22","0","","",""
"74","11","1025","","71106","0","","",""
"49","8","10250","","22","0","","",""
"49","7","10251","","22","0","","",""
"49","6","10252","","22","0","","",""
"49","9","10253","","23","0","","",""
"49","1","10254","","23","0","","",""
"49","8","10255","","23","0","","",""
"49","7","10256","","23","0","","",""
"49","6","10257","","23","0","","",""
"8","31","10258","","52","0","","",""
"8","34","10259","","52","0","","",""
"74","4","1026","","71114","0","","",""
"8","32","10260","","52","0","","",""
"8","24","10261","","52","0","","",""
"8","23","10262","","52","0","","",""
"2","9","10263","","135","0","","",""
"2","1","10264","","135","0","","",""
"2","8","10265","","135","0","","",""
"2","7","10266","","135","0","","",""
"2","6","10267","","135","0","","",""
"2","9","10268","","136","0","","",""
"2","1","10269","","136","0","","",""
"74","3","1027","","71114","0","","",""
"2","8","10270","","136","0","","",""
"46","9","10271","","142","0","","",""
"46","1","10272","","142","0","","",""
"46","8","10273","","142","0","","",""
"46","7","10274","","142","0","","",""
"46","6","10275","","142","0","","",""
"35","9","10276","","212","0","","",""
"35","1","10277","","212","0","","",""
"35","8","10278","","212","0","","",""
"35","7","10279","","212","0","","",""
"74","10","1028","","71106","0","","",""
"35","6","10280","","212","0","","",""
"2","7","10281","","136","0","","",""
"2","6","10282","","136","0","","",""
"5","6","10283","","32","0","","",""
"5","8","10284","","32","0","","",""
"5","9","10285","","32","0","","",""
"5","1","10286","","32","0","","",""
"83","6","10287","","224","0","","",""
"83","9","10288","","222","0","","",""
"83","7","10289","","222","0","","",""
"74","2","1029","","71114","0","","",""
"83","6","10290","","222","0","","",""
"83","8","10291","","222","0","","",""
"83","1","10292","","222","0","","",""
"5","7","10293","","32","0","","",""
"83","9","10294","","224","0","","",""
"83","1","10295","","224","0","","",""
"83","8","10296","","224","0","","",""
"83","7","10297","","224","0","","",""
"62","42","10298","","8039","0","","",""
"62","41","10299","","8039","0","","",""
"88","2","103","","6003","0","","",""
"74","1","1030","","71114","0","","",""
"62","44","10300","","8039","0","","",""
"62","43","10301","","8039","0","","",""
"62","43","10302","","8037","0","","",""
"62","42","10303","","8037","0","","",""
"62","44","10304","","8037","0","","",""
"62","41","10305","","8037","0","","",""
"30","8","10306","","61103","0","","",""
"30","3","10307","","61103","0","","",""
"30","11","10308","","61103","0","","",""
"30","9","10309","","61103","0","","",""
"74","8","1031","","71114","0","","",""
"59","11","10310","","5057","0","","",""
"59","30","10311","","5057","0","","",""
"59","29","10312","","5057","0","","",""
"59","37","10313","","5057","0","","",""
"59","26","10314","","5057","0","","",""
"59","37","10315","","5059","0","","",""
"59","30","10316","","5059","0","","",""
"59","29","10317","","5059","0","","",""
"59","11","10318","","5059","0","","",""
"59","26","10319","","5059","0","","",""
"56","21","1032","","4126","1","","",""
"12","31","10320","","72","0","","",""
"12","34","10321","","72","0","","",""
"12","32","10322","","72","0","","",""
"12","24","10323","","72","0","","",""
"12","23","10324","","72","0","","",""
"57","9","10325","","82","0","","",""
"57","1","10326","","82","0","","",""
"57","8","10327","","82","0","","",""
"57","7","10328","","82","0","","",""
"57","6","10329","","82","0","","",""
"56","5","1033","","4126","1","","",""
"14","50","10330","","92","0","","",""
"14","49","10331","","92","0","","",""
"14","36","10332","","92","0","","",""
"14","33","10333","","92","0","","",""
"14","35","10334","","92","0","","",""
"30","3","10335","","61107","0","","",""
"30","2","10336","","61107","0","","",""
"30","11","10337","","61107","0","","",""
"30","4","10338","","61107","0","","",""
"30","10","10339","","61107","0","","",""
"56","42","1034","","4114","1","","",""
"44","9","10340","","122","0","","",""
"44","1","10341","","122","0","","",""
"44","8","10342","","122","0","","",""
"44","7","10343","","122","0","","",""
"44","6","10344","","122","0","","",""
"52","11","10345","","2056","1","","",""
"52","10","10346","","2056","1","","",""
"52","4","10347","","2056","1","","",""
"52","3","10348","","2056","1","","",""
"52","2","10349","","2056","1","","",""
"56","41","1035","","4114","1","","",""
"52","11","10350","","2054","1","","",""
"52","10","10351","","2054","1","","",""
"52","4","10352","","2054","1","","",""
"52","2","10353","","2054","1","","",""
"52","3","10354","","2054","1","","",""
"62","44","10355","","8041","0","","",""
"62","43","10356","","8041","0","","",""
"62","42","10357","","8041","0","","",""
"62","41","10358","","8041","0","","",""
"61","9","10359","","481","0","","",""
"56","44","1036","","4114","1","","",""
"61","7","10360","","481","0","","",""
"61","52","10361","","481","0","","",""
"61","1","10362","","481","0","","",""
"61","8","10363","","481","0","","",""
"19","49","10364","","492","0","","",""
"19","36","10365","","492","0","","",""
"19","127","10366","","492","0","","",""
"19","50","10367","","492","0","","",""
"19","33","10368","","492","0","","",""
"58","52","10369","","501","0","","",""
"56","43","1037","","4114","1","","",""
"58","7","10370","","501","0","","",""
"58","1","10371","","501","0","","",""
"58","8","10372","","501","0","","",""
"11","31","10373","","31101","0","","",""
"11","30","10374","","31101","0","","",""
"11","32","10375","","31101","0","","",""
"11","29","10376","","31101","0","","",""
"11","37","10377","","31101","0","","",""
"11","34","10378","","31101","0","","",""
"11","24","10379","","31101","0","","",""
"56","5","1038","","4114","1","","",""
"11","23","10380","","31101","0","","",""
"11","26","10381","","31101","0","","",""
"11","11","10382","","31101","0","","",""
"58","9","10383","","501","0","","",""
"13","7","10384","","26206","1","","",""
"13","4","10385","","26206","1","","",""
"13","8","10386","","26206","1","","",""
"13","10","10387","","26206","1","","",""
"13","1","10388","","26206","1","","",""
"13","2","10389","","26105","0","","",""
"59","39","1039","","5028","1","","",""
"13","9","10390","","26101","0","","",""
"13","1","10391","","26101","0","","",""
"13","52","10392","","26101","0","","",""
"13","1","10393","","26104","0","","",""
"13","10","10394","","26103","0","","",""
"13","7","10395","","26101","0","","",""
"13","8","10396","","26102","0","","",""
"13","6","10397","","26102","0","","",""
"13","11","10398","","26101","0","","",""
"13","6","10399","","26105","0","","",""
"88","1","104","","6003","0","","",""
"59","39","1040","","5034","1","","",""
"13","9","10400","","26103","0","","",""
"13","10","10401","","26101","0","","",""
"13","8","10402","","26101","0","","",""
"13","2","10403","","26101","0","","",""
"13","8","10404","","26104","0","","",""
"13","4","10405","","26101","0","","",""
"13","7","10406","","26105","0","","",""
"13","9","10407","","26104","0","","",""
"13","1","10408","","26103","0","","",""
"13","3","10409","","26101","0","","",""
"52","26","1041","","2157","0","","",""
"13","1","10410","","26102","0","","",""
"13","9","10411","","26102","0","","",""
"13","7","10412","","26104","0","","",""
"13","6","10413","","26103","0","","",""
"13","7","10414","","26103","0","","",""
"13","10","10415","","26102","0","","",""
"13","4","10416","","26102","0","","",""
"13","8","10417","","26105","0","","",""
"13","1","10418","","26105","0","","",""
"13","11","10419","","26104","0","","",""
"52","11","1042","","2157","0","","",""
"13","6","10420","","26104","0","","",""
"13","8","10421","","26103","0","","",""
"13","3","10422","","26103","0","","",""
"13","2","10423","","26102","0","","",""
"13","11","10424","","26102","0","","",""
"13","3","10425","","26102","0","","",""
"13","3","10426","","26104","0","","",""
"13","4","10427","","26104","0","","",""
"13","4","10428","","26103","0","","",""
"13","2","10429","","26103","0","","",""
"52","29","1043","","2157","0","","",""
"13","7","10430","","26102","0","","",""
"13","11","10431","","26105","0","","",""
"13","11","10432","","26103","0","","",""
"13","3","10433","","26105","0","","",""
"13","10","10434","","26104","0","","",""
"13","9","10435","","26105","0","","",""
"13","4","10436","","26105","0","","",""
"13","2","10437","","26104","0","","",""
"13","10","10438","","26105","0","","",""
"13","6","10439","","26205","1","","",""
"52","37","1044","","2157","0","","",""
"13","2","10440","","26204","1","","",""
"13","9","10441","","26203","1","","",""
"13","4","10442","","26201","1","","",""
"13","3","10443","","26201","1","","",""
"13","1","10444","","26201","1","","",""
"13","3","10445","","26205","1","","",""
"13","9","10446","","26205","1","","",""
"13","11","10447","","26204","1","","",""
"13","6","10448","","26203","1","","",""
"13","1","10449","","26203","1","","",""
"52","30","1045","","2157","0","","",""
"13","2","10450","","26202","1","","",""
"13","52","10451","","26202","1","","",""
"13","2","10452","","26201","1","","",""
"13","10","10453","","26201","1","","",""
"13","7","10454","","26205","1","","",""
